epoch;C_real;C_fake;GP;LossC;LossG;;;;;;;;;;;;;;;
109;17,8281;7,6914;0,1581;-8,5703;-7,6797;;;;;;;;;;;;;;;
110;17,7656;7,8281;0,1426;-8,4922;-7,8789;;;;;;;;;;;;;;;
111;17,4844;7,582;0,1407;-8,4844;-7,5508;;;;;;;;;;;;;;;
112;17,1562;7,4219;0,1371;-8,3594;-7,4336;;;;;;;;;;;;;;;
113;16,6875;7,1211;0,1418;-8,1484;-7,0195;;;;;;;;;;;;;;;
114;16,5156;6,9766;0,1354;-8,1875;-7,0625;;;;;;;;;;;;;;;
115;16,6094;7,25;0,1324;-8,0312;-7,2227;;;;;;;;;;;;;;;
116;16,7812;7,5117;0,1344;-7,9297;-7,4023;;;;;;;;;;;;;;;
117;16,6562;7,5039;0,1277;-7,875;-7,4531;;;;;;;;;;;;;;;
118;16,2656;7,1172;0,1262;-7,8828;-7,1211;;;;;;;;;;;;;;;
119;16,0625;6,8672;0,1328;-7,8516;-6,8086;;;;;;;;;;;;;;;
120;16,0156;6,9258;0,1275;-7,8242;-7,0391;;;;;;;;;;;;;;;
121;15,9766;6,957;0,1219;-7,793;-6,9727;;;;;;;;;;;;;;;
122;15,4531;6,6211;0,1199;-7,625;-6,5625;;;;;;;;;;;;;;;
123;15,2969;6,4883;0,1192;-7,625;-6,3398;;;;;;;;;;;;;;;
124;15,3047;6,4922;0,1213;-7,5977;-6,5273;;;;;;;;;;;;;;;
125;15,7891;7,0117;0,1194;-7,5742;-7,0625;;;;;;;;;;;;;;;
126;15,0781;6,3594;0,12;-7,4961;-6,3594;;;;;;;;;;;;;;;
127;14,2188;5,5742;0,1128;-7,5078;-5,5508;;;;;;;;;;;;;;;
128;14,3438;5,7031;0,1181;-7,4414;-5,7109;;;;;;;;;;;;;;;
129;14,2812;5,6914;0,1247;-7,3398;-5,6719;;;;;;;;;;;;;;;
130;14,2969;5,9414;0,1318;-7,043;-5,9805;;;;;;;;;;;;;;;
131;15,2344;6,7617;0,1106;-7,3789;-6,875;;;;;;;;;;;;;;;
132;14,6562;6,3516;0,1118;-7,1992;-6,3633;;;;;;;;;;;;;;;
133;14,8438;6,4727;0,1085;-7,2852;-6,5195;;;;;;;;;;;;;;;
134;14,8438;6,5625;0,1054;-7,2109;-6,5898;;;;;;;;;;;;;;;
135;14,4453;6,1523;0,1124;-7,1602;-6,082;;;;;;;;;;;;;;;
136;14,2891;5,9375;0,1158;-7,1875;-5,957;;;;;;;;;;;;;;;
137;14,1719;5,9102;0,1114;-7,1523;-5,9219;;;;;;;;;;;;;;;
138;14,7812;6,5352;0,1222;-7,0273;-6,5352;;;;;;;;;;;;;;;
139;14,3281;6,2109;0,1107;-7;-6,1836;;;;;;;;;;;;;;;
140;14,1016;5,9727;0,1088;-7,0469;-5,9492;;;;;;;;;;;;;;;
141;13,8516;5,7461;0,1082;-7,0156;-5,7656;;;;;;;;;;;;;;;
142;13,8516;5,7383;0,1095;-7,0234;-5,7422;;;;;;;;;;;;;;;
143;13,4766;5,418;0,104;-7,0234;-5,5234;;;;;;;;;;;;;;;
144;13,6719;5,6094;0,1083;-6,9844;-5,5625;;;;;;;;;;;;;;;
145;13,2266;5,0742;0,1108;-7,0469;-5,1523;;;;;;;;;;;;;;;
146;13,1172;5,1289;0,1056;-6,9414;-5,1406;;;;;;;;;;;;;;;
147;13,1172;5,1445;0,1023;-6,9453;-5,1719;;;;;;;;;;;;;;;
148;13,3672;5,3906;0,1013;-6,9648;-5,4297;;;;;;;;;;;;;;;
149;12,5781;4,6328;0,1054;-6,8906;-4,5781;;;;;;;;;;;;;;;
150;12,6797;4,7109;0,1048;-6,9141;-4,707;;;;;;;;;;;;;;;
151;12,875;4,9375;0,1028;-6,9141;-4,9531;;;;;;;;;;;;;;;
152;12,4688;4,5898;0,1035;-6,832;-4,5703;;;;;;;;;;;;;;;
